timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,bessChargeMWh,bessDischargeMWh,bessThroughputMWh,projectGHGKgCO2e,avoidedBaselineGHGKgCO2e,netGHGKgCO2e,proxyProjectGHGKgCO2e,proxyAvoidedGHGKgCO2e,proxyNetGHGKgCO2e,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
8053,NORMAL,186.9448,186.9448,101.990580699991,40,23.8242193000089,89.7517110159922,704.59749867888,697.55152369209,0,697.55152369209,0,22.1165714704892,0,0,171786.370263512,7261.8834933944,-164524.486770117,0,0,0,2804.172,71909.6564801616,-69105.4844801616,2804.172,62909.6564801616,-60105.4844801616,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.615087318502275,0.241232990058788,0.143679691438936,1,KALMAN_PRIOR_POSTERIOR,195.73227157862,152.568446802117,195.310055446147,152.568446802117,34.3763531978833,6,131.438446802116,40.0000000000005,240,105.150757441693,0.471883785067116,0.335691462838429,0.192424752094455,0.514417426157673,0.304324959501548,0.181257614340778,1,0,0.0458054596359847,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,186.9448,186.9448,0,0,0,0.89375,40,72000,0,101.990580699991,23.8242193000089,0,0,0,186.9448,0,0
8054,NORMAL,247.2736,213.774524790795,129.524844427924,40,23.1196803628703,113.981863096574,704.59749867888,697.551523692091,0,697.551523692091,0,21.4626837626178,33.4990752092052,0,178241.460960176,7798.4779892103,-170442.982970965,0,0,0,3206.61787186192,83697.7886665166,-80491.1707946547,3206.61787186192,74697.7886665166,-71491.1707946547,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.67235154785003,0.207636318984091,0.120012133165879,1,KALMAN_PRIOR_POSTERIOR,198.71479525311,185.537302969473,195.637436443787,185.537302969473,61.7362970305268,6,164.407302969473,40,240.000000000001,131.525842375578,0.52235154785003,0.303353818973014,0.174294633176955,0.6160773930183,0.24329819465153,0.14062441233017,1,0,0.100935525565829,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,33.4990752092052,1,MAIN_CONCLUSION_ELIGIBLE,247.2736,213.774524790795,33.4990752092052,0,0,0.89375,40,72000,0,129.524844427924,23.1196803628703,0,0,0,247.2736,0,0
8055,NORMAL,293.0788,258.180372706759,174.62063454991,40,22.4297381568482,153.666158403921,704.59749867888,697.551523692095,0,697.551523692095,0,20.8223374656616,34.8984272932414,0,190966.624554046,8686.59494752958,-182280.029606516,0,0,0,3872.70559060138,103219.763171712,-99347.0575811109,3872.70559060138,94219.7631717123,-90347.0575811109,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.736639358782715,0.168740506683285,0.0946201345339995,1,KALMAN_PRIOR_POSTERIOR,201.950472616702,233.498446275298,196.005670960128,233.498446275298,59.5803537247021,6,212.368446275297,40.0000000000005,240,169.894757020238,0.586639358782715,0.263103146745744,0.150257494471541,0.706031007657702,0.188351898323669,0.105617094018629,1,0,0.12857562186537,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,34.8984272932414,1,MAIN_CONCLUSION_ELIGIBLE,293.0788,258.180372706759,34.8984272932414,0,0,0.89375,40,72000,0,174.62063454991,22.4297381568482,0,0,0,293.0788,0,0
8056,NORMAL,326.522870669534,285.67598867149,200,40,24.1859886714897,176,704.597498678879,697.551523692099,0,697.551523692099,0,22.4528873908766,40.8468819980439,0,208082.838166291,9236.50726682421,-198846.330899467,0,0,0,4285.13983007235,115201.958932359,-110916.819102287,4285.13983007235,106201.958932359,-101916.819102287,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.757042419265831,0.151408483853166,0.0915490968810029,1,KALMAN_PRIOR_POSTERIOR,205.866841292578,273.165689934594,196.035561698785,273.165689934594,53.3571807349392,6,252.035689934594,40.0000000000005,240,201.628551947675,0.642181000559572,0.226564733903107,0.131254265537322,0.745329763859447,0.158707681481067,0.0959625546594859,1,0,0.111083283553713,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,40.8468819980439,1,MAIN_CONCLUSION_ELIGIBLE,326.522870669534,285.67598867149,40.8468819980439,0,0,0.89375,40,72000,0,200,24.1859886714897,0,0,0,324.3604,0,2.16247066953362
8057,NORMAL,353.417415331254,283.140985423031,200,40.0000000000005,21.6509854230302,176,704.597498678888,697.551523692099,0,697.551523692099,0,20.0996778505196,70.2764299082232,0,196316.790464506,9185.80720185505,-187130.983262651,0,0,0,4247.11478134546,114025.354162181,-109778.239380835,4247.11478134546,105025.354162181,-100778.239380835,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.764377018021335,0.152875403604269,0.082747578374396,1,KALMAN_PRIOR_POSTERIOR,208.759115030954,302.012486197001,196.094263597935,302.012486197001,51.4049291342529,6,280.522486197,59.9999999999995,360.000000000001,224.4179889576,0.665544017039399,0.222127386043593,0.112328596917007,0.708932476216223,0.21388659716164,0.0771809266221372,1,0,0.0467260329596557,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,70.2764299082232,1,MAIN_CONCLUSION_ELIGIBLE,353.417415331254,283.140985423031,70.2764299082232,0,0,0.89375,40.0000000000005,72000,0,200,21.6509854230302,0,0,0,350.056,0,3.36141533125378
8058,NORMAL,370.519027758566,284.01826206705,200,40.0000000000005,22.5282620670497,176,704.597498678888,697.551523692099,0,697.551523692099,0,20.9142451702534,86.5007656915163,0,200389.627063175,9203.35273473544,-191186.274328439,0,0,0,4260.27393100575,114432.637822048,-110172.363891042,4260.27393100575,105432.637822048,-101172.363891042,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.761822740246228,0.152364548049247,0.0858127117045248,1,KALMAN_PRIOR_POSTERIOR,215.395542966733,325.800926902461,196.513057183472,325.800926902461,44.7181008561059,6,302.52826206705,79.9999999999999,480,242.02260965364,0.663986951996286,0.236936137296606,0.0990769107071073,0.661095259773362,0.264438103909345,0.0744666363172931,1,0,0.0296175025060259,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,86.5007656915163,1,MAIN_CONCLUSION_ELIGIBLE,370.519027758566,284.01826206705,86.5007656915163,0,0,0.89375,40.0000000000005,72000,0,200,22.5282620670497,0,0,0,365.6968,0,4.82222775856656
8059,NORMAL,397.209470774166,284.960706304927,200,40.0000000000005,23.4707063049275,176,704.597498678888,697.551523692099,0,697.551523692099,0,21.789323178376,112.248764469239,0,204765.017103788,9222.20161949299,-195542.815484295,0,0,0,4274.41059457391,114870.176826109,-110595.766231535,4274.41059457391,105870.176826109,-101595.766231535,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.759097672773268,0.151819534554655,0.0890827926720766,1,KALMAN_PRIOR_POSTERIOR,225.570692337873,343.028983450289,197.013348998012,343.028983450289,54.1804873238778,6,321.538983450289,99.9999999999995,599.999999999998,257.231186760231,0.647191805447103,0.262859987199374,0.0899482073535228,0.616000818998621,0.311004279875942,0.0729949011254374,1,0,0.051847699805535,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,112.248764469239,1,MAIN_CONCLUSION_ELIGIBLE,397.209470774166,284.960706304927,112.248764469239,0,0,0.89375,40.0000000000005,72000,0,200,23.4707063049275,0,0,0,390.726,0,6.48347077416645
8060,NORMAL,442.368633421327,283.187764892315,200,40,21.6977648923144,176,704.59749867888,697.551523692091,0,697.551523692091,0,20.1435335632937,159.180868529012,0,196536.069028376,9186.7427912407,-187349.326237136,0,0,0,4247.81647338473,114047.282018568,-109799.465545183,4247.81647338473,105047.282018568,-100799.465545183,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.764240382726607,0.152848076545321,0.0829115407280716,1,KALMAN_PRIOR_POSTERIOR,229.787838882704,365.278636998733,197.25564108576,365.278636998733,77.0899964225949,6,321.697764892315,100,600,257.358211913852,0.638270217057781,0.279656763438175,0.0820730195040439,0.621701552906182,0.310850776453092,0.0674476706407256,1,0,0.0335935524776026,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,159.180868529012,1,MAIN_CONCLUSION_ELIGIBLE,442.368633421327,283.187764892315,159.180868529012,0,0,0.89375,40,72000,0,200,21.6977648923144,0,0,0,433.846,0,8.52263342132742
8061,NORMAL,490.878633421327,284.699632646296,200,40.0000000000005,23.209632646295,176,704.597498678888,697.551523692099,0,697.551523692099,0,21.5472574267883,206.179000775032,0,203554.68834585,9216.98014632035,-194337.708199529,0,0,0,4270.49448969444,114749.143950315,-110478.649460621,4270.49448969444,105749.143950315,-101478.649460621,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.759850610288122,0.151970122057626,0.0881792676542518,1,KALMAN_PRIOR_POSTERIOR,235.501915759581,401.896609369283,197.479373725133,401.896609369283,88.9820240520449,6,323.209632646295,100,600,258.567706117036,0.631453344625882,0.290065748003976,0.0784809073701419,0.618793438680926,0.309396719340464,0.0718098419786098,1,0,0.0208179691316022,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,206.179000775032,1,MAIN_CONCLUSION_ELIGIBLE,490.878633421327,284.699632646296,206.179000775032,0,0,0.89375,40.0000000000005,72000,0,200,23.209632646295,0,0,0,482.356,0,8.52263342132742
8062,NORMAL,519.023470774167,285.379656399375,200,40.0000000000005,23.889656399374,176,704.597498678888,697.551523692099,0,697.551523692099,0,22.1787320039273,233.643814374792,0,206712.061231544,9230.58062138193,-197481.480610162,0,0,0,4280.69484599062,115064.881238885,-110784.186392894,4280.69484599062,106064.881238885,-101784.186392894,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.757892532541393,0.15157850650828,0.0905289609503265,1,KALMAN_PRIOR_POSTERIOR,239.766791234097,442.877566761088,197.542379448664,442.877566761088,76.1459040130781,6,323.889656399374,100,600,259.111725119499,0.631453344625882,0.290065748003976,0.0784809073701419,0.6174942485764,0.308747124288201,0.0737586271353993,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,233.643814374792,1,MAIN_CONCLUSION_ELIGIBLE,519.023470774167,285.379656399375,233.643814374792,0,0,0.89375,40.0000000000005,72000,0,200,23.889656399374,0,0,0,512.54,0,6.48347077416645
