timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,planningAvailableMW,forecastErrorMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,bessReserveShortfallMWh,planStatus,planFallbackUsed,planFallbackMessage,reliabilityRelaxationUsed,minimumFeasibleENSMWh,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
10,NORMAL,261.7972,221.13,200,0,0,184,0,0,40.6672,0,71640,4422.6,-67217.4,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,261.7972,221.13,40.6672,0,0,0.89375,0,0,0,200,0,0,0,261.7972,0,0
11,NORMAL,257.47125859082,221.49,200,0,0,184,0,0,35.9812585908199,0,71640,4429.8,-67210.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,257.47125859082,221.49,35.9812585908199,0,0,0.89375,0,0,0,200,0,0,0,257.3284,0,0.142858590820011
12,NORMAL,241.697415331254,221.49,200,0,0,184,0,0,20.2074153312538,0,71640,4429.8,-67210.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,241.697415331254,221.49,20.2074153312538,0,0,0.89375,0,0,0,200,0,0,0,238.336,0,3.36141533125378
13,NORMAL,214.111027758567,214.111027758567,192.621027758567,0,0,177.211345537881,0,0,0,0,69196.0843936373,4282.22055517133,-64913.8638384659,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,214.111027758567,214.111027758567,0,0,0,0.89375,0,0,0,192.621027758567,0,0,0,209.2888,0,4.82222775856656
14,NORMAL,193.428270774166,193.428270774166,171.938270774166,0,0,158.183209112233,0,0,0,0,62345.9552804039,3868.56541548333,-58477.3898649206,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,193.428270774166,193.428270774166,0,0,0,0.89375,0,0,0,171.938270774166,0,0,0,186.9448,0,6.48347077416645
15,NORMAL,179.826633421327,179.826633421327,158.336633421327,0,0,145.669702747621,0,0,0,0,57841.0929891436,3596.53266842655,-54244.5603207171,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,179.826633421327,179.826633421327,0,0,0,0.89375,0,0,0,158.336633421327,0,0,0,171.304,0,8.52263342132742
16,NORMAL,183.373470774166,183.373470774166,161.883470774166,0,0,148.932793112233,0,0,0,0,59015.8055204039,3667.46941548333,-55348.3361049206,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,183.373470774166,183.373470774166,0,0,0,0.89375,0,0,0,161.883470774166,0,0,0,176.89,0,6.48347077416645
17,NORMAL,201.478215331254,201.478215331254,200,0,0,184,0,0,0,0,119480,4629.91784668746,-107540.514490097,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,201.478215331254,201.478215331254,0,0,20.0117846687461,0.762093521916144,0,0,0,200,0,0,0,198.1168,0,3.36141533125378
18,NORMAL,233.8672,233.8672,200,0,0,184,0,0,0,0,119480,4677.344,-119001.47398,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,233.8672,233.8672,0,12.7372,0,0.837720646916144,0,0,0,200,0,0,0,233.8672,0,0
19,NORMAL,284.1412,230.566522624649,200,0,0,184,0,0,53.5746773753506,0,119480,4611.33045249299,-117979.419230723,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,284.1412,230.566522624649,53.5746773753506,9.43652262464947,0,0.89375,0,0,0,200,0,0,0,284.1412,0,0
