electrolyzer_cap_mw,h2_input_mwh,h2_produced_kg,h2_delivered_kg,h2_power_served_mwh,h2_power_shortfall_mwh,ending_inventory_kg,minimum_inventory_kg,maximum_inventory_kg,module_start_count,variable_cost_cny
20.0,125172.36686049025,2204903.4148405977,2011012.758188203,2892.6673121444337,7671.1825290002935,0.0,0.0,20989.97511133629,256,15970930.998864308
30.0,173025.0690018227,3047825.7706857477,2823267.27014776,3232.625103600086,7331.224737544643,2063.745417938533,0.0,25776.613651068827,429,23622046.63255018
100.0,300486.0657048922,5293043.257088019,4541277.3884094,10563.84984114469,6.48925357893404e-14,71999.99999999713,1056.8962480183195,72000.0,590,37523290.21081422
