horizon,strategyLabel,eAvailableMWh,eSourceUsedMWh,eCurtailmentMWh,curtailmentRatePct,ensMWh,cashMarginMCNY,proxyNetGHGTCO2e
48h,纯电基准,8450.79867685041,7663.6918236417,787.106853208704,9.313993662691969,0.0,2.5330469713879156,-2908.4844194152997
48h,纯氢基准,8450.79867685041,1090.27578947368,7360.52288737672,87.09854735434268,0.0,0.2373944842105263,16.6857157894737
48h,纯算基准,8450.79867685041,2317.09990050527,6133.69877634514,72.58129096303537,0.0,5.954074375108124,-539.0335598568761
48h,在线混合策略,8450.79867685041,8178.66850308277,272.130173767641,3.2201710651692292,0.0,6.755779008407597,-1989.05226374928
8760h,纯电基准,2014114.53319666,1211294.27864314,802820.254553519,39.85971211276349,2544.62986137221,369.82230672953784,-453756.022988914
8760h,在线混合策略,2014114.53319666,1508548.28181682,505566.251379839,25.1011669419534,2248.45526464468,1312.4682832586366,-483828.953173658
