strategyId,eventCode,hours,eAvailableMWh,eSourceUsedMWh,eCurtailmentMWh,ensMWh
baseline_E_asset_only,NORMAL,48,8450.79867685041,7663.6918236417,787.106853208704,0
baseline_H_asset_only,NORMAL,48,8450.79867685041,1090.27578947368,7360.52288737672,0
baseline_C_asset_only,NORMAL,48,8450.79867685041,2317.09990050527,6133.69877634514,0
model_online_prior_posterior_event_aware,NORMAL,48,8450.79867685041,8178.66850308277,272.130173767641,0
