caseId,caseLabel,changedParameter,electricityPriceCNYPerMWh,hydrogenPriceCNYPerKg,computePriceCNYPerMWhCS,outputRevenueMCNY,cashOperatingMarginMCNY,revenueDeltaMCNY,netOperatingValueMCNY,renewableUtilizationPct,curtailmentPct,ensMWh
base_price_anchor,Base,base,401.34,28.36,5000,1404.6105769733601,1312.46828325864,0.0,1313.74116543923,74.8988330580466,25.1011669419534,2248.45526464468
electricity_minus_10,Power -10,electricity_price,391.34,28.36,5000,1397.23389034194,1305.0915966272198,-7.37668663142109,1306.36447880781,74.8988330580466,25.1011669419534,2248.45526464468
electricity_plus_10,Power +10,electricity_price,411.34,28.36,5000,1411.9872636047799,1319.84496989006,7.37668663142109,1321.11785207065,74.8988330580466,25.1011669419534,2248.45526464468
hydrogen_minus_1,H2 -1,hydrogen_price,401.34,27.36,5000,1400.20661249038,1308.06431877566,-4.40396448297763,1309.33720095625,74.8988330580466,25.1011669419534,2248.45526464468
hydrogen_plus_1,H2 +1,hydrogen_price,401.34,29.36,5000,1409.01454145634,1316.87224774161,4.40396448297787,1318.14512992221,74.8988330580466,25.1011669419534,2248.45526464468
compute_minus_100,Compute -100,compute_price,401.34,28.36,4900,1385.87071267908,1293.72841896436,-18.7398642942755,1295.0013011449498,74.8988330580466,25.1011669419534,2248.45526464468
compute_plus_100,Compute +100,compute_price,401.34,28.36,5100,1423.35044126764,1331.20814755291,18.7398642942758,1332.48102973351,74.8988330580466,25.1011669419534,2248.45526464468
