caseId,caseLabel,parameterGroup,distanceToShoreKm,costMultiplier,grossCapexBCNY,annualizedInvestmentBurdenMCNY,cashOperatingMarginMCNY,projectAnnualNetCashMCNY,deltaProjectAnnualNetCashMCNY
base_lifecycle_cost,Base,base,200,1.0,25.8498430899523,3670.6600441798,1312.46828325864,-2358.19176092116,0.0
device_cost_minus20pct,Device -20%,device_cost,200,0.8,,3022.5261890891597,1312.46828325864,-1710.05790583053,648.133855090636
device_cost_plus20pct,Device +20%,device_cost,200,1.2,,4318.793899270429,1312.46828325864,-3006.3256160118,-648.1338550906349
cable_asset_cost_minus20pct,Cable -20%,cable_asset_cost,200,0.8,,3584.66189043447,1312.46828325864,-2272.19360717584,85.9981537453241
cable_asset_cost_plus20pct,Cable +20%,cable_asset_cost,200,1.2,,3756.65819792512,1312.46828325864,-2444.18991466649,-85.9981537453241
distance_100km_capex_only,100 km,distance_cable_capex,100,,25.1473865927161,3596.98667844556,1312.46828325864,-2284.5183951869303,73.67336573423579
distance_200km_capex_only,200 km,distance_cable_capex,200,,25.8498430899523,3670.6600441798,1312.46828325864,-2358.19176092116,-4.76837158203125e-13
distance_300km_capex_only,300 km,distance_cable_capex,300,,26.5522995871884,3744.33340991404,1312.46828325864,-2431.8651266553998,-73.6733657342367
