strategyId,caseLabel,sensitivityCaseId,eSourceUsedMWh,eCurtailmentMWh,eCableReceivedMWh,eHydrogenInputMWh,eComputeServiceMWhCS,ensMWh,outputRevenueMCNY,operatingCostMCNY,cashOperatingMarginMCNY,planFallbackHours,reserveConstraintRelaxationHours,reliabilityRelaxationHours,criticalServiceRatePct,renewableUtilizationPct,curtailmentRatePct,proxyNetGHGKtCO2e,delta_eSourceUsedMWh,deltaPct_eSourceUsedMWh,delta_eCurtailmentMWh,deltaPct_eCurtailmentMWh,delta_eCableReceivedMWh,deltaPct_eCableReceivedMWh,delta_eHydrogenInputMWh,deltaPct_eHydrogenInputMWh,delta_eComputeServiceMWhCS,deltaPct_eComputeServiceMWhCS,delta_ensMWh,deltaPct_ensMWh,delta_outputRevenueMCNY,deltaPct_outputRevenueMCNY,delta_operatingCostMCNY,deltaPct_operatingCostMCNY,delta_cashOperatingMarginMCNY,deltaPct_cashOperatingMarginMCNY,delta_planFallbackHours,deltaPct_planFallbackHours,delta_reserveConstraintRelaxationHours,deltaPct_reserveConstraintRelaxationHours,delta_reliabilityRelaxationHours,deltaPct_reliabilityRelaxationHours,delta_criticalServiceRatePct,deltaPct_criticalServiceRatePct,delta_proxyNetGHGKtCO2e,deltaPct_proxyNetGHGKtCO2e
model_online_prior_posterior_event_aware,Base,,1508548.28181682,505566.251379839,737668.66314211,346498.437029905,187398.642942757,2248.45526464468,1404.6105769733601,92.1422937147236,1312.4682832586366,359,316,154,98.7962182863222,74.89883305804655,25.1011669419534,-483.828953173658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,,0,,0.0,0.0,0.0,-0.0
c5_56_flex_ratio_0p50,Flex 50%,flex_ratio_0p50,1501502.94793031,512611.585266356,734412.61809851,338736.486936338,189836.914616978,4591.38162087068,1416.4550940195602,115.895516792052,1300.559577227508,313,833,277,98.453452234784,74.5490349819993,25.450965018001,-483.981872549942,-7045.333886509994,-0.4670274045206526,7045.333886516979,1.3935530441931578,-3256.0450436000247,-0.4413966874681724,-7761.950093566964,-2.240111141654893,2438.271674221003,1.3011149045331136,2342.9263562260003,104.20159978571996,11.844517046200053,0.8432598501231916,23.7532230773284,25.77884934237623,-11.908706031128531,-0.9073519096066253,-46,,517,,123,,-0.34276605153820583,-0.3469424816897672,-0.15291937628398955,0.031606082124875035
c5_56_distance_loss_proxy_0p12,Cable loss 12%,distance_loss_proxy_0p12,1506918.72728887,507195.805907793,705468.049332124,344707.991569595,187319.604893246,2238.65777901897,1391.05436825324,91.7291857747072,1299.3251824785327,359,312,154,98.8014636804475,74.81792631212463,25.182073687875523,-467.629007012456,-1629.5545279500075,-0.10802137045209145,1629.5545279539656,0.3223226478243814,-32200.61380998604,-4.365186623602401,-1790.445460309973,-0.5167254073805378,-79.03804951100028,-0.042176425757332374,-9.797485625710124,-0.4357429645040506,-13.55620872012014,-0.965122215534708,-0.4131079400164026,-0.44833693992402884,-13.14310078010385,-1.0014033061028915,0,,-4,,0,,0.005245394125296343,0.005309306587115126,16.199946161202035,-3.348279604794027
