timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
4522,NORMAL,92.8851588411007,92.8851588411007,13.9338376613304,34.5220660937612,23.2992550860091,12.819130648424,608.104035472277,602.022995117554,0,602.022995117554,0,21.7056958286638,0,0,37941.1070892984,4898.2233541834,-33042.883735115,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.194185866025138,0.481109186451794,0.324704947523069,1,KALMAN_PRIOR_POSTERIOR,166.988262377554,104.831032567209,191.934890080762,104.831032567209,-11.9458737261083,6,83.7010325672085,40.0000000000005,240,66.9608260537668,0.344185866025145,0.415315809604087,0.240498324370768,0.243745827924132,0.477891356571761,0.278362815504106,1,0,0.108166194878013,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,92.8851588411007,92.8851588411007,0,0,0,0.89375,34.5220660937612,72000,0,13.9338376613304,23.2992550860091,0,0,0,88.396,4.48915884110068,0
4523,NORMAL,105.59085859082,105.59085859082,21.5087407075371,40,22.5921178832828,19.7880414509342,704.59749867888,697.551523692091,0,697.551523692091,0,21.047009494587,0,0,42829.7608815375,5634.8046652108,-37194.9562163267,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.255749359375564,0.475619401159909,0.268631239464527,1,KALMAN_PRIOR_POSTERIOR,168.272364655342,108.287529326874,192.003111232059,108.287529326874,-2.69667073605389,6,87.157529326873,40.0000000000005,240,69.7260234614984,0.322368561098961,0.430583969003037,0.247047469898002,0.281850709093191,0.458939122172516,0.259210168734293,1,0,0.0436346098523681,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,105.59085859082,105.59085859082,0,0,0,0.89375,40,72000,0,21.5087407075371,22.5921178832828,0,0,0,105.448,0,0.142858590820011
4524,NORMAL,123.509415331254,123.509415331254,39.5457067490154,40,22.4737085822384,36.3820502090941,704.59749867888,697.551523692091,0,697.551523692091,0,20.9367839469627,0,0,48748.491260663,5993.17580001947,-42755.3154606435,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.387629223521932,0.392082231309808,0.22028854516826,1,KALMAN_PRIOR_POSTERIOR,157.86664383584,117.117512718383,190.60961822341,117.117512718383,6.39190261287125,6,95.627512718383,40.0000000000005,200,76.5020101747064,0.330883633150184,0.426280961651261,0.242835405198555,0.346697338388169,0.418289662283677,0.235012999328154,1,0,0.0170301441024454,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,123.509415331254,123.509415331254,0,0,0,0.89375,40,72000,0,39.5457067490154,22.4737085822384,0,0,0,120.148,0,3.36141533125378
4525,NORMAL,136.142227758567,136.142227758567,51.3813519765902,40.0000000000005,23.270875781976,47.2708438184629,704.597498678888,697.551523692099,0,697.551523692099,0,21.6795233387267,0,0,53039.8266559179,6245.83204856577,-46793.9946073522,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.448149617160414,0.348881140663329,0.202969242176258,1,KALMAN_PRIOR_POSTERIOR,160.378773453751,130.177616929152,191.290450569889,130.177616929152,5.96461082941465,6,108.687616929152,40.0000000000005,160.000000000001,86.9500935433215,0.361327079664285,0.405892147220871,0.232780773114844,0.417864908904759,0.368027206135861,0.21410788495938,1,0,0.0608868930282028,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,136.142227758567,136.142227758567,0,0,0,0.89375,40.0000000000005,72000,0,51.3813519765902,23.270875781976,0,0,0,131.32,0,4.82222775856656
4526,NORMAL,148.975470774166,148.975470774166,63.6024763444281,40.0000000000005,23.8829944297379,58.5142782368738,704.597498678888,697.551523692099,0,697.551523692099,0,22.2498738803123,0,0,57372.6383173386,6502.49690887777,-50870.1414084609,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.498899803704662,0.313761244768498,0.18733895152684,1,KALMAN_PRIOR_POSTERIOR,161.901441770062,140.351172136349,191.96615005092,140.351172136349,8.62429863781708,6,118.86117213635,40.0000000000005,120.000000000001,95.0889377090798,0.396751987957789,0.381614364316678,0.221633647725533,0.462541103360011,0.33652705320889,0.200931843431099,1,0,0.0708498165870081,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,148.975470774166,148.975470774166,0,0,0,0.89375,40.0000000000005,72000,0,63.6024763444281,23.8829944297379,0,0,0,142.492,0,6.48347077416645
4527,NORMAL,161.951433421327,161.951433421327,78.0717883198117,40,22.3896451015157,71.8260452542268,704.59749867888,697.551523692091,0,697.551523692091,0,20.8587251141378,0,0,61469.3000604983,6762.01616182095,-54707.2838986773,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.555823662183683,0.284775678459839,0.159400659356478,1,KALMAN_PRIOR_POSTERIOR,163.624642242579,150.502739694736,192.746227950533,150.502739694736,11.4486937265917,6,129.012739694736,40.0000000000005,80.0000000000005,103.210191755789,0.438631276696193,0.356565751798084,0.204802971505724,0.516407098638943,0.310046899977837,0.17354600138322,1,0,0.0837585774768075,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,161.951433421327,161.951433421327,0,0,0,0.89375,40,72000,0,78.0717883198117,22.3896451015157,0,0,0,153.4288,0,8.52263342132742
4528,NORMAL,175.553070774166,175.553070774166,91.6691465975004,40,22.393924176666,84.3356148697004,704.59749867888,697.55152369209,0,697.55152369209,0,20.8627968672126,0,0,65974.7809986061,7034.04890887772,-58940.7320897284,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.595010511843385,0.259633926540605,0.14535556161601,1,KALMAN_PRIOR_POSTERIOR,166.059564338871,160.642723159976,193.026570425667,160.642723159976,14.9103476141908,6,139.152723159976,40.0000000000005,40.0000000000005,111.322178527981,0.47817575490549,0.332376621355909,0.1894476237386,0.551615500151329,0.287453950534728,0.160930549313943,1,0,0.0790889564185952,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,175.553070774166,175.553070774166,0,0,0,0.89375,40,72000,0,91.6691465975004,22.393924176666,0,0,0,169.0696,0,6.48347077416645
4529,NORMAL,142.325415331254,142.325415331254,131.570738709248,27.099388919486,22.0152877025195,121.045079612508,477.3540412099,472.580500797801,0,472.580500797801,0,20.5101325179629,0,0,104105.398621362,7028.77851267458,-75215.6201086877,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.728175754905493,0.149981053367281,0.121843191727227,1,KALMAN_PRIOR_POSTERIOR,170.323077033382,172.212994125697,193.334633467433,172.212994125697,-29.8875787944432,6,200,0,0,120.835415331254,0.57817575490549,0.25736404677288,0.16446019832163,1,0,0,1,0,0.2,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,142.325415331254,142.325415331254,0,0,59.85,0.5,27.099388919486,72000,0,131.570738709248,22.0152877025195,0,0,0,138.964,0,3.36141533125378
4530,NORMAL,131.32,131.32,91.2566864330356,5.34014208583767,13.5931714811268,83.9561515183927,94.0662689067759,93.1256062177082,0,93.1256062177082,0,12.663876649206,0,0,66425.7944583407,3096.73134453388,-63329.0631138068,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.828175754905487,0.0484630373521887,0.123361207742325,1,KALMAN_PRIOR_POSTERIOR,177.856760687794,151.930713773776,194.130716903168,151.930713773776,-20.6107137737758,6,190.290713773776,8.0000000000002,112,110.19,0.67817575490549,0.198463037352187,0.123361207742323,0.957959062524139,0.0420409374758606,0,1,0,0.2,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,131.32,131.32,0,0,0,0.5,5.34014208583767,72000,0,91.2566864330356,13.5931714811268,0,0,0,131.32,0,0
4531,NORMAL,114.268,114.268,86.4484334603877,0,6.68956653961231,79.5325587835567,0,0,0,0,0,6.23226094413159,0,0,57826.3169178709,2285.36,-55540.9569178709,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.928175754905492,0,0.0718242450945083,1,KALMAN_PRIOR_POSTERIOR,187.125911982828,143.922225503392,194.849742973675,143.922225503392,-29.6542255033916,6,182.642225503391,3.99999999999995,72.0000000000005,93.138,0.77817575490549,0.139152846772245,0.0826713983222651,0.978099259418378,0.0219007405816224,0,1,0,0.2,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,114.268,114.268,0,0,0,0.5,0,72000,0,86.4484334603877,6.68956653961231,0,0,0,114.268,0,0
