strategyId,eventCode,hours,eAvailableMWh,eSourceUsedMWh,eCurtailmentMWh,ensMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,minimumBessSOC,minimumH2InventoryKg,planFallbackHours,reserveConstraintRelaxationHours,reliabilityRelaxationHours,totalCriticalDemandMWh,criticalServiceRate
cp01_phase2_30mw_h2_contract,NORMAL,8700,2005898.93968884,1383840.67795788,622058.261730965,6749.72167555006,873553.420443984,150214.301028645,179584.771589622,0.10625,0,288,1192,506,185554.8,0.963624106325732
cp01_phase2_30mw_h2_contract,TYPHOON_WARNING,12,1473.4724550877,374.12069259387,1099.35176249383,0,0,0,0,0.407866006887612,0,0,2,0,257.88,1
cp01_phase2_30mw_h2_contract,TYPHOON_PASSAGE,24,0,0,0,341.34,0,0,0,0.10625,0,0,18,18,461.04,0.2596304008329
cp01_phase2_30mw_h2_contract,TYPHOON_RECOVERY,24,6742.12105273339,2762.33000132688,3979.79105140651,16.2085846687462,1926.98700704825,210,0,0.10625,0,8,2,1,508.92,0.968151016527654
