timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
3082,NORMAL,0.126814221796404,0.126814221796404,0,0,0,0,0,0,0,0,0,0,0,21.0031857782036,0,330161.825194616,330161.825194616,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,183.654149706514,42.996467075861,192.546554436149,42.996467075861,-42.8696528540646,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,63,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED; V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | STRICT_ZERO_ENS_INFEASIBLE; RELAXED_TO_MINIMUM_ENS,1,1,21.0031857782036,1,1,1,63,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,0.126814221796404,0.126814221796404,0,0,0,0.10625,0,0,0,0,0,0,18,3.0031857782036,0,0.126814221796404,0
3083,NORMAL,0.142858590820011,0.142858590820011,0,0,0,0,0,0,0,0,0,0,0,21.34714140918,0,347359.927630816,347359.927630816,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,183.10428672981,41.9959874482659,192.531388960277,41.9959874482659,-41.8531288574459,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,63,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED; V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | STRICT_ZERO_ENS_INFEASIBLE; RELAXED_TO_MINIMUM_ENS,1,1,21.34714140918,1,1,1,63,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,0.142858590820011,0.142858590820011,0,0,0,0.10625,0,0,0,0,0,0,18,3.34714140917999,0,0,0.142858590820011
3084,NORMAL,3.36141533125378,3.36141533125378,0,0,0,0,0,0,0,0,0,0,0,18.1285846687462,0,186496.461743936,186496.461743936,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,170.718304540627,40.5402234601266,190.992439787667,40.5402234601266,-37.1788081288728,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,63,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED; V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | STRICT_ZERO_ENS_INFEASIBLE; RELAXED_TO_MINIMUM_ENS,1,1,18.1285846687462,1,1,1,63,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,3.36141533125378,3.36141533125378,0,0,0,0.10625,0,0,0,0,0,0,18,0.128584668746217,0,0,3.36141533125378
3085,NORMAL,4.82222775856656,4.82222775856656,0,0,0,0,0,0,0,0,0,0,0,16.6677722414334,399.668327569966,166774.166969506,166374.498641936,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,172.122920129283,41.2103147526315,191.851453110623,41.2103147526315,-36.3880869940649,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,63,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED; V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | STRICT_ZERO_ENS_INFEASIBLE; RELAXED_TO_MINIMUM_ENS,1,1,16.6677722414334,1,1,1,63,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,4.82222775856656,4.82222775856656,0,0,0,0.10625,0,0,0,0,0,0,16.6677722414334,0,0,0,4.82222775856656
3086,NORMAL,6.48347077416645,6.48347077416645,0,0,0,0,0,0,0,0,0,0,0,15.0065292258335,898.041232249936,150194.961673819,149296.920441569,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,172.911432262083,41.0769388562516,192.760680936877,41.0769388562516,-34.5934680820851,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,63,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED; V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | STRICT_ZERO_ENS_INFEASIBLE; RELAXED_TO_MINIMUM_ENS,1,1,15.0065292258335,1,1,1,63,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,6.48347077416645,6.48347077416645,0,0,0,0.10625,0,0,0,0,0,0,15.0065292258335,0,0,0,6.48347077416645
3087,NORMAL,8.52263342132742,8.52263342132742,0,0,0,0,0,0,0,0,0,0,0,12.9673665786726,1509.79002639823,129844.118455152,128334.328428754,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,174.097154210664,41.2032661572549,193.648194412465,41.2032661572549,-32.6806327359274,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,63,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED; V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | STRICT_ZERO_ENS_INFEASIBLE; RELAXED_TO_MINIMUM_ENS,1,1,12.9673665786726,1,1,1,63,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,8.52263342132742,8.52263342132742,0,0,0,0.10625,0,0,0,0,0,0,12.9673665786726,0,0,0,8.52263342132742
3088,NORMAL,7.26747077416645,7.26747077416645,0,0,0,0,0,0,0,0,0,0,0,14.2225292258336,1133.24123224993,142370.641673819,141237.400441569,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,175.74181447185,41.8394446942957,193.781974575844,41.8394446942957,-34.5719739201292,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,63,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED; V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | STRICT_ZERO_ENS_INFEASIBLE; RELAXED_TO_MINIMUM_ENS,1,1,14.2225292258335,1,1,1,63,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,7.26747077416645,7.26747077416645,0,0,0,0.10625,0,0,0,0,0,0,14.2225292258336,0,0.783999999999997,0,6.48347077416645
3089,NORMAL,17.9438153312538,17.9438153312538,0,0,0,0,0,0,0,0,0,0,0,3.54618466874621,4336.14459937614,35820.7229940872,31484.5783947111,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,180.600999706254,41.5623481355226,193.945355924279,41.5623481355226,-23.6185328042688,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,63,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED; V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | STRICT_ZERO_ENS_INFEASIBLE; RELAXED_TO_MINIMUM_ENS,1,1,3.54618466874621,1,1,1,63,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,17.9438153312538,17.9438153312538,0,0,0,0.10625,0,0,0,0,0,0,3.54618466874621,0,14.5824,0,3.36141533125378
3090,NORMAL,22.5792,22.5792,0,0,0,0,0,0,0,0,0,0,0,0,5400,451.584,-5500.9568316,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,190.182482629283,50.4127911843388,194.602111291912,50.4127911843388,-27.8335911843388,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,61.62326,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED_FOR_ZERO_ENS,1,0,NaN,1,1,1,61.62326,0,0,NaN,NaN,0,0,EXCLUDED_RELAXED_FALLBACK,22.5792,22.5792,0,1.44920000000001,0,0.114854625,0,0,0,0,0,0,0,0,22.5792,0,0
3091,NORMAL,26.1856,26.1856,0,0,0,0,0,0,0,0,0,0,3.5527136788005e-15,0,5400,523.712,-6803.8517788,1,1,PASS_RELAXED,0,1,cp01_phase2_30mw_h2_contract,0,0,0,0,KALMAN_PRIOR_POSTERIOR,205.037057262083,57.1063881588282,195.286410892876,57.1063881588282,-30.9207881588282,6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.5,0,56.82044,0,NORMAL_RESTORE_RESERVE_THROTTLE_OPTIONAL_PRODUCTS,PLAN_SOLVED_NO_OPTIONAL_PRODUCT,0,STRICT_FAILED: V5 solver returned no incumbent. Exitflag=-2. 找不到可行解。 Intlinprog 已停止，因为没有满足约束的整数点。 | BESS_RESERVE_TARGET_RELAXED_FOR_ZERO_ENS,1,0,NaN,1,1,1,56.82044,0,0,NaN,NaN,3.5527136788005e-15,0,EXCLUDED_RELAXED_FALLBACK,26.1856,26.1856,3.5527136788005e-15,5.0556,0,0.14487225,0,0,0,0,0,0,0,0,26.1856,0,0
