strategyId,eventCode,hours,eAvailableMWh,eSourceUsedMWh,eCurtailmentMWh,ensMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,minimumBessSOC,minimumH2InventoryKg,planFallbackHours,reserveConstraintRelaxationHours,reliabilityRelaxationHours,totalCriticalDemandMWh,criticalServiceRate,principalConclusionEligible,principalConclusionStatus
baseline_E_asset_only,NORMAL,8700,2005898.93968884,1206895.46319377,799003.476495064,2187.08127670347,1022712.4785989,0,0,0.10625,0,0,0,169,185554.8,0.988213286443124,0,EXCLUDED_RELAXED_FALLBACK
baseline_E_asset_only,TYPHOON_WARNING,12,1473.4724550877,1473.4724550877,0,0,1099.35176249383,0,0,0.407866006887612,0,0,0,0,257.88,1,0,EXCLUDED_RELAXED_FALLBACK
baseline_E_asset_only,TYPHOON_PASSAGE,24,0,0,0,341.34,0,0,0,0.10625,0,0,0,18,461.04,0.2596304008329,0,EXCLUDED_RELAXED_FALLBACK
baseline_E_asset_only,TYPHOON_RECOVERY,24,6742.12105273339,2925.34299427862,3816.77805845477,16.2085846687462,2300,0,0,0.10625,0,0,0,1,508.92,0.968151016527654,0,EXCLUDED_RELAXED_FALLBACK
