timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW,bessChargeMWh,bessDischargeMWh,bessThroughputMWh,proxyProjectGHGKgCO2e,proxyAvoidedGHGKgCO2e,proxyNetGHGKgCO2e
0,NORMAL,140.291756304204,140.291756304204,87.9371612235423,0,31.2245950806618,80.9021883256589,0,0,0,0,0,29.1398174519855,0,0,183568.371522547,2805.83512608408,-180762.536396463,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.737964628509254,0,0.262035371490745,1,KALMAN_PRIOR_POSTERIOR,200,200,357.770876399966,200,-59.7082436957959,6,181.55,0,0,119.161756304204,0.828011043345294,0,0.171988956654706,0.828011043345294,0,0.171988956654706,1,0,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,140.291756304204,140.291756304204,0,0,0,0.5,0,0,0,87.9371612235423,31.2245950806618,0,0,0,134.26,6.03175630420411,0,0,0,0,2104.37634456306,55021.0028888222,-52916.6265442591
1,NORMAL,152.518159228209,152.518159228209,67.0155105330924,0,30.5884942701108,61.654269690445,0,0,0,0,0,28.5465921109482,0,0,172877.285152304,3050.36318456417,-182707.907877825,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.686606155845903,0,0.313393844154097,1,KALMAN_PRIOR_POSTERIOR,143.135006004004,143.135006004004,178.03156488454,143.135006004004,9.38315322420476,6,122.005006004004,0,0,97.6040048032031,0.800456901811294,5.55111517894887e-17,0.199543098188706,0.749284924676722,0,0.250715075323278,1,0,0.0551082830680005,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,152.518159228209,152.518159228209,0,33.7841544250055,0,0.70059341689847,0,0,0,67.0155105330924,30.5884942701108,0,0,0,138.964,13.5541592282087,0,33.7841544250055,0,33.7841544250055,2456.69316054816,45100.4309006966,-42643.7377401484
2,NORMAL,165.459025817457,165.459025817457,83.0933564082169,0,28.7040343605618,76.4458878955595,0,0,0,0,0,26.7883071973859,0,0,170022.328634933,3309.18051634915,-179116.582208499,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.743249514472767,0,0.256750485527234,1,KALMAN_PRIOR_POSTERIOR,146.404957766206,149.218584716574,170.143040569478,149.218584716574,16.2404411008828,6,128.088584716574,0,0,102.47086777326,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.775904820682686,0,0.224095179317314,1,0,0.0171864567900261,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,165.459025817457,165.459025817457,0,32.5316350486787,0,0.89375,0,0,0,83.0933564082169,28.7040343605618,0,0,0,144.256,21.2030258174573,0,32.5316350486787,0,32.5316350486787,2644.54356250525,51617.0975464727,-48972.5539839674
3,NORMAL,175.487295316613,175.487295316613,123.731868938958,0,30.6254263776553,113.833319423841,0,0,0,0,0,28.5818695133202,0,0,193995.211984165,3509.74590633226,-190485.466077833,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.801593916796499,0,0.198406083203501,1,KALMAN_PRIOR_POSTERIOR,152.75631378329,158.98422454648,170.330447570587,158.98422454648,16.5030707701333,6,137.85422454648,0,0,110.283379637184,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.777841945153234,0,0.222158054846766,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,175.487295316613,175.487295316613,0,0,0,0.89375,0,0,0,123.731868938958,30.6254263776553,0,0,0,147.784,27.703295316613,0,0,0,0,2632.3094297492,71207.5944685807,-68575.2850388315
4,NORMAL,176.672977440479,176.672977440479,126.152147329305,0,29.3908301111734,116.059975542961,0,0,0,0,0,27.4300437234936,0,0,189129.72920188,3533.45954880958,-185596.269653071,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.811043670406655,0,0.188956329593346,1,KALMAN_PRIOR_POSTERIOR,158.439059166621,167.625445589451,170.627778294675,167.625445589451,9.04753185102817,6,146.495445589451,0,0,117.196356471561,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.799373762147252,0,0.200626237852748,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,176.672977440479,176.672977440479,0,0,0,0.89375,0,0,0,126.152147329305,29.3908301111734,0,0,0,152.3116,24.3613774404788,0,0,0,0,2650.09466160718,71745.0096332273,-69094.9149716201
5,NORMAL,185.022781249829,185.022781249829,134.746438944702,0,29.1463423051274,123.966723829126,0,0,0,0,0,27.2022525120563,0,0,191164.067501863,3700.45562499659,-187463.611876866,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.822162135007653,0,0.177837864992347,1,KALMAN_PRIOR_POSTERIOR,162.085842821392,170.285910430675,170.556538696504,170.285910430675,14.736870819154,6,149.155910430675,0,0,119.32472834454,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.804591435760274,0,0.195408564239726,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,185.022781249829,185.022781249829,0,0,0,0.89375,0,0,0,134.746438944702,29.1463423051274,0,0,0,163.4836,21.5391812498294,0,0,0,0,2775.34171874744,75584.4881705911,-72809.1464518436
6,NORMAL,200.580678321577,200.580678321577,149.571247355176,0,29.8794309664017,137.605547566762,0,0,0,0,0,27.8868389312393,0,0,200060.805116641,4011.61356643155,-196049.191550209,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.833495023558187,0,0.166504976441813,1,KALMAN_PRIOR_POSTERIOR,165.908665892799,176.021194793779,170.513395331865,176.021194793779,24.5594835277989,6,154.891194793779,0,0,123.912955835023,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.807094063634908,0,0.192905936365092,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,200.580678321577,200.580678321577,0,0,0,0.89375,0,0,0,149.571247355176,29.8794309664017,0,0,0,181.3588,19.2218783215774,0,0,0,0,3008.71017482366,82746.1932490005,-79737.4830741768
7,NORMAL,224.991213716989,224.991213716989,174.596486500346,0,29.2647272166432,160.628767580318,0,0,0,0,0,27.313515761296,0,0,206434.328387165,4499.82427433978,-201934.504112825,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.856447792676884,0,0.143552207323116,1,KALMAN_PRIOR_POSTERIOR,170.861810525481,186.271399101561,170.641097872435,186.271399101561,38.719814615428,6,165.141399101561,0,0,132.113119281249,0.80268784558306,1.01169073583189e-16,0.19731215441694,0.822789879607078,0,0.177210120392922,1,0,0.0216483443335574,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,224.991213716989,224.991213716989,0,0,0,0.89375,0,0,0,174.596486500346,29.2647272166432,0,0,0,208.1716,16.8196137169888,0,0,0,0,3374.86820575483,93971.141670807,-90596.2734650522
8,NORMAL,244.995306020671,244.208103514808,200,0,23.0781035148082,184,0,0,0,0,0,21.5396876736494,0.787202505863149,0,186944.998368247,4884.16207029616,-182060.836297951,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.896546979953699,0,0.103453020046301,1,KALMAN_PRIOR_POSTERIOR,177.62798592442,202.357055024475,171.109101840299,202.357055024475,42.6382509961968,6,181.227055024475,0,0,144.98164401958,0.827176843664216,1.62904411851419e-16,0.172823156335784,0.872656411529219,0,0.127343588470781,1,0,0.0489779961623116,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,0.787202505863149,1,MAIN_CONCLUSION_ELIGIBLE,244.995306020671,244.208103514808,0.787202505863149,0,0,0.89375,0,0,0,200,23.0781035148082,0,0,0,234.9844,10.0109060206714,0,0,0,0,3663.12155272212,102769.843836825,-99106.7222841026
9,NORMAL,255.284296059127,255.284296059127,200,12.2480174081596,21.9062786509671,184,215.748060739116,0,0,0,215.748060739116,20.4462681353011,0,0,181477.900676505,25860.8041337694,-161735.711545297,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.85413764925969,0.0523074639854861,0.0935548867548237,1,KALMAN_PRIOR_POSTERIOR,185.113243712892,217.346123224779,171.960803943805,217.346123224779,37.9381728343478,6,196.216123224779,0,0,156.972898579823,0.848589680754241,1.19765655802358e-16,0.151410319245758,0.888356378207147,0,0.111643621792853,1,0,0.0428256741800517,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,1,12.2480174081596,12.2480174081596,12.2480174081596,1,MAIN_CONCLUSION_ELIGIBLE,255.284296059127,255.284296059127,0,0,0,0.89375,12.2480174081596,215.748060739116,0,200,21.9062786509671,0,0,0,253.9768,1.30749605912667,0,0,0,0,3829.2644408869,102223.134067651,-98393.8696267636
10,NORMAL,261.7972,261.7972,198.046014686542,20,22.621185313458,182.202333511619,352.29874933944,0,0,0,352.29874933944,21.113827126825,0,0,184094.220165678,6468.98962268804,-187616.423074257,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.822904054588835,0.0831023089145509,0.0939936364966143,1,KALMAN_PRIOR_POSTERIOR,192.130348947516,227.086542034549,173.040166430675,227.086542034549,34.7106579654505,6,205.95654203455,20,120,164.76523362764,0.829153377361813,0.0339877526144606,0.136858870023727,0.793057385347302,0.0971078646127442,0.109834750039954,1,0,0.0679755052289207,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,261.7972,261.7972,0,0,0,0.89375,20,568.046810078556,0,198.046014686542,22.621185313458,0,0,0,261.7972,0,0,0,0,0,3926.958,101658.080319222,-97731.1223192218
