timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,bessChargeMWh,bessDischargeMWh,bessThroughputMWh,projectGHGKgCO2e,avoidedBaselineGHGKgCO2e,netGHGKgCO2e,proxyProjectGHGKgCO2e,proxyAvoidedGHGKgCO2e,proxyNetGHGKgCO2e,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
10,NORMAL,261.7972,261.7972,198.046014686542,20,11.310592656729,182.202333511619,352.298749339439,0,0,0,352.298749339439,21.113827126825,0,0,184094.220165678,6468.98962268804,-187616.423074257,0,0,0,3926.958,110658.080319222,-106731.122319222,3926.958,101658.080319222,-97731.1223192219,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.863485107233613,0.0872004527432976,0.0493144400230893,1,KALMAN_PRIOR_POSTERIOR,192.130348947516,227.086542034549,173.040166430675,227.086542034549,34.7106579654505,6,194.645949377821,20,120,155.716759502256,0.889622296432559,0.0359627314227461,0.0744149721446946,0.839140795085578,0.102750661207846,0.0581085437065756,1,0,0.0719254628454924,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,261.7972,261.7972,0,0,0,0.89375,20,568.046810078556,0,198.046014686542,22.621185313458,0,0,0,261.7972,0,0
11,NORMAL,257.47125859082,257.47125859082,193.471739349985,20,11.2547596204175,177.994000201986,352.29874933944,0,0,0,352.29874933944,21.0098998872005,0,0,181885.611477068,6382.47079450444,-185494.33321383,0,0,0,3862.0688788623,108501.950044593,-104639.881165731,3862.0688788623,99501.9500445934,-95639.8811657311,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.860920898231348,0.0889970701792231,0.0500820315894289,1,KALMAN_PRIOR_POSTERIOR,198.463699043196,234.157528531481,173.855471823477,234.157528531481,23.3137300593387,6,201.772768911064,20,120,161.418215128851,0.874039219102954,0.058068266575984,0.0678925143210618,0.845099218347974,0.09912140328914,0.0557793783628864,1,0,0.0442110703064757,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,257.47125859082,257.47125859082,0,0,0,0.89375,20,920.345559417996,0,193.471739349985,22.5095192408349,0,0,0,257.3284,0,0.142858590820011
12,NORMAL,241.697415331254,241.697415331254,179.414805382489,20,10.3963049743822,165.06162095189,352.29874933944,0,0,0,352.29874933944,19.4076490410492,0,0,168684.076158078,6066.99392931312,-172608.274760031,0,0,0,3625.46122996881,101234.63499647,-97609.1737665009,3625.46122996881,92234.6349964697,-88609.1737665009,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.855125379572699,0.0953238365975074,0.0495507838297933,1,KALMAN_PRIOR_POSTERIOR,203.380995672165,234.633101504217,174.267575120601,234.633101504217,7.06431382703636,6,202.746796529835,20,120,162.197437223868,0.865652620227947,0.0722701962210911,0.0620771835509619,0.850077508031505,0.0986452084191471,0.0512772835493476,1,0,0.0284038592902143,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,241.697415331254,241.697415331254,0,0,0,0.89375,20,1272.64430875744,0,179.414805382489,20.7926099487645,0,0,0,238.336,0,3.36141533125378
13,NORMAL,214.111027758567,214.111027758567,151.351089012012,20,10.6349693732774,139.243001891051,352.29874933944,0,0,0,352.29874933944,19.8534653600074,0,0,160551.113178991,5515.26617785937,-165027.039532398,0,0,0,3211.6654163785,88548.2336255291,-85336.5682091506,3211.6654163785,79548.2336255291,-76336.5682091506,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.831663097464208,0.109898528367801,0.0584383741679914,1,KALMAN_PRIOR_POSTERIOR,206.328412569018,227.386554582104,174.305564927644,227.386554582104,-13.2755268235371,6,195.261585208826,20,120,156.209268167061,0.857762023319348,0.0828249728847999,0.0594130037958525,0.843108057631949,0.102426700974545,0.0544652413935065,1,0,0.0211095533274173,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,214.111027758567,214.111027758567,0,0,0,0.89375,20,1624.94305809688,0,151.351089012012,21.2699387465549,0,0,0,209.2888,0,4.82222775856656
14,NORMAL,193.428270774166,193.428270774166,130.290385739412,20,10.8239425173771,119.867154880259,352.29874933944,0,0,0,352.29874933944,20.206528887195,0,0,154540.128375618,5101.61103817137,-159429.709868713,0,0,0,2901.4240616125,79036.8418837272,-76135.4178221147,2901.4240616125,70036.8418837272,-67135.4178221147,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.808682797794068,0.124135452236894,0.0671817499690377,1,KALMAN_PRIOR_POSTERIOR,206.884313653985,212.277814696969,174.140939430921,212.277814696969,-18.8495439228022,6,179.963872179591,20,120,143.971097743673,0.847597839309113,0.0927329282242428,0.0596692324666445,0.828721497575819,0.11113341671178,0.0601450857124009,1,0,0.02032836802047,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,193.428270774166,193.428270774166,0,0,0,0.89375,20,1977.24180743631,0,130.290385739412,21.6478850347542,0,0,0,186.9448,0,6.48347077416645
15,NORMAL,179.826633421327,179.826633421327,116.753324889108,20,10.7916542661096,107.41305889798,352.29874933944,0,0,0,352.298749339439,20.1465377648757,0,0,149241.845882493,4829.57829111459,-154403.460122645,0,0,0,2697.39950131991,72779.7983314276,-70082.3988301077,2697.39950131991,63779.7983314276,-61082.3988301077,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.791306661586114,0.135551884682975,0.0731414537309113,1,KALMAN_PRIOR_POSTERIOR,205.987244128664,199.506840000529,173.98853276839,199.506840000529,-19.6802065792014,6,167.225185734419,20,120,133.780148587535,0.836492089207948,0.102136126624027,0.0613717841680242,0.815867124734358,0.119599209366484,0.0645336658991579,1,0,0.0222115002023284,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,179.826633421327,179.826633421327,0,0,0,0.89375,20,2329.54055677575,0,116.753324889108,21.5833085322193,0,0,0,171.304,0,8.52263342132742
16,NORMAL,183.373470774166,183.373470774166,120.638208600895,20,10.6226310866359,110.987151912823,352.298749339441,0,0,0,352.29874933944,19.8312759706939,0,0,149099.963402162,4900.51503817137,-154190.640895257,0,0,0,2750.6020616125,74409.2139417584,-71658.6118801459,2750.6020616125,65409.2139417584,-62658.6118801459,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.797550832390623,0.13222192896268,0.0702272386466965,1,KALMAN_PRIOR_POSTERIOR,204.352205959456,190.514131172314,173.914020167584,190.514131172314,-7.14066039814728,6,158.401500085678,20,120,126.721200068542,0.826056856848654,0.110579982993514,0.0633631601578326,0.806677139609963,0.126261430536846,0.067061429853191,1,0,0.0208704647185897,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,183.373470774166,183.373470774166,0,0,0,0.89375,20,2681.83930611519,0,120.638208600895,21.2452621732718,0,0,0,176.89,0,6.48347077416645
17,NORMAL,201.478215331254,201.478215331254,138.512149788985,20,10.7380327711344,127.431177805866,352.29874933944,0,0,0,352.29874933944,20.047002490694,0,0,156778.241354076,5262.60992931312,-161506.82395603,0,0,0,3022.17322996881,82739.0901482801,-79716.9169183113,3022.17322996881,73739.0901482801,-70716.9169183113,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.818387003746859,0.118168262494463,0.0634447337586779,1,KALMAN_PRIOR_POSTERIOR,203.118162713262,190.980227993991,173.778359949362,190.980227993991,10.4979873372624,6,158.752195222857,20,120,127.001756178286,0.826056856848654,0.110579982993514,0.0633631601578326,0.806377274166293,0.12598250986025,0.0676402159734567,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,201.478215331254,201.478215331254,0,0,0,0.89375,20,3034.13805545463,0,138.512149788985,21.4760655422688,0,0,0,198.1168,0,3.36141533125378
18,NORMAL,233.8672,233.8672,170.97028323385,20,10.883458383075,157.292660575142,352.29874933944,0,0,0,352.29874933944,20.3187880688154,0,0,170121.776739304,5910.38962268804,-174202.579647883,0,0,0,3508.008,97805.7243219787,-94297.7163219787,3508.008,88805.7243219787,-85297.7163219787,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.847000812887159,0.0990816411912528,0.0539175459215887,1,KALMAN_PRIOR_POSTERIOR,203.027054525373,200.402999253767,173.608013780384,200.402999253767,33.4642007462334,6,168.029540870692,20,120,134.423632696553,0.826056856848654,0.110579982993514,0.0633631601578326,0.816202209307698,0.119026689571158,0.0647711011211445,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,233.8672,233.8672,0,0,0,0.89375,20,3386.43680479407,0,170.97028323385,21.7669167661501,0,0,0,233.8672,0,0
19,NORMAL,284.1412,284.1412,200,41.0200941594597,10.9955529202702,184,722.566393508185,0,0,0,722.566393508186,20.5283532837504,0,0,181888.326418752,88211.8063772787,-114168.502961366,0,0,0,4262.118,111264.176641875,-107002.058641875,4262.118,102264.176641875,-98002.0586418752,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.793601517673727,0.162768044900332,0.0436304374259411,1,KALMAN_PRIOR_POSTERIOR,204.650220076669,218.825746560281,173.571863942268,218.825746560281,65.3154534397188,6,186.700193640011,20,120,149.360154912009,0.826056856848654,0.110579982993514,0.0633631601578326,0.833982213323063,0.107123616800116,0.058894169876821,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,1,21.0200941594597,21.0200941594597,21.0200941594597,1,MAIN_CONCLUSION_ELIGIBLE,284.1412,284.1412,0,0,0,0.89375,41.0200941594597,4109.00319830226,0,200,21.9911058405404,0,0,0,284.1412,0,0
