strategyId,eventCode,hours,eAvailableMWh,eSourceUsedMWh,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,netGHGKgCO2e,planFallbackHours,reserveConstraintRelaxationHours,reliabilityRelaxationHours,totalCriticalDemandMWh,criticalServiceRate
c5_56_flex_ratio_0p50,NORMAL,8700,2005898.93968884,1497703.94692315,508194.992765689,4233.83303620194,1415513259.83508,111325872.009069,-559945934.980806,304,811,258,295651.553196722,0.985679652312245
c5_56_flex_ratio_0p50,TYPHOON_WARNING,12,1473.4724550877,386.57270551454,1086.89974957316,0,64800,7731.45411029081,-101557.945889709,0,2,0,257.88,1
c5_56_flex_ratio_0p50,TYPHOON_PASSAGE,24,0,0,0,341.34,33369,4239791,-55016.5,0,18,18,461.04,0.2596304008329
c5_56_flex_ratio_0p50,TYPHOON_RECOVERY,24,6742.12105273339,3412.4283016396,3329.69275109379,16.2085846687462,843665.184475131,322122.328873152,-1051705.36663235,9,2,1,508.92,0.968151016527654
